"","ERR4873299","ERR4873300","ERR4873301","ERR4873302","ERR4873303","ERR4873304","ERR4873305","ERR4873306","ERR4873307","ERR4873308","ERR4873309","ERR4873310","ERR4873311","ERR4873312","ERR4873313","ERR4873314","ERR4873316","ERR4873317","ERR4873318","ERR4873319","ERR4873320","ERR4873321"
"ENSMUSG00000000126",126.98237643871,229.54734832974,194.600408528226,182.254177889152,177.753907565175,188.572938908873,200.0659381647,136.242588281745,197.946193898932,186.897531794102,158.822957691841,346.996356633323,248.088018279292,242.202857476869,350.708820852085,187.199490877042,165.388044016606,178.002568672048,223.230674146769,306.658147448707,248.613063541751,344.951890913976
"ENSMUSG00000000148",654.585208120676,645.559844716189,818.50111223387,713.614950044848,767.768383880906,710.911126496831,655.388418125741,575.828717139514,786.986079986056,738.97733769281,683.386106688134,864.425552743791,919.385008917377,730.953018304632,765.182881859095,952.394490082471,718.404316197133,887.046133882371,890.496276215916,743.517519512507,892.665021629981,809.219333137237
"ENSMUSG00000000263",17.2886803602,20.8679407572491,66.0461992580644,24.3861223936189,56.7527536202064,75.2521117711465,78.1866884781586,64.6278944413408,81.5778253644083,42.202668469636,72.7006496476739,24.5227107161359,16.5392012186195,15.205560559086,12.4419980790097,32.7940713945184,26.8755571526985,26.7003853008071,26.6906240827659,19.7015010930733,24.3208431725626,9.4507367373692
"ENSMUSG00000000275",1985.21743446435,1711.84430147369,1980.20658132661,2061.26908232379,1839.64586263235,1885.72938908873,1913.27425923023,2150.1875150619,1944.6713958192,2180.75829724731,1686.65507182603,1720.26815673694,1982.75835785568,1492.31715772744,1702.99848706445,1798.20824813276,1543.27718572996,1517.47189792921,1228.98191799281,1556.41858635279,1557.43473501336,1484.94700985913
"ENSMUSG00000000295",171.694480818538,188.484626194508,160.397912483871,134.765413227894,161.691807483984,186.802300984846,180.51926604516,197.95931630681,155.95760731431,155.891489653145,206.91723361261,234.191887339098,274.356161391217,231.341742791808,199.849594144093,162.603937331154,247.048390749806,226.953275056861,254.774138971856,174.74374882552,200.87214916598,206.734866129951
"ENSMUSG00000000320",128.770860613903,272.62954860277,86.0959383185483,96.2610094484957,268.772474691921,40.7246722526205,464.520913899648,614.256113834365,61.1833690233062,45.6477842630757,586.079083313556,51.4976925038854,99.2352073117169,82.5444716064666,113.533232470963,81.9851784862959,42.3806862792553,56.3674800794818,151.651273197533,36.8332411740067,46.8401424064168,44.8909995025037
"ENSMUSG00000000326",5139.50735811325,6630.61988577107,10026.0489266572,6386.59710687619,11689.9964390904,5178.2306088169,4136.99566388845,3695.43464882153,5981.574077455,6863.53193948019,4604.74730153036,8540.03400689434,7799.69271586308,17347.3723749801,6915.41805728956,12762.3594510334,8149.49586891827,10389.4165914918,10178.8334570184,7784.66269277611,9056.36137988681,7116.404763239
"ENSMUSG00000000365",20.2694873188552,27.5995345499101,23.5879283064516,16.6852416377392,36.4074268506984,90.3025341253759,80.4862969628103,70.450227273894,45.5876082918752,60.2895263851943,32.435674458193,15.9397619654884,22.3765663546028,16.2916720275921,15.5524975987621,24.5955535458888,31.0102582531137,16.316902128271,25.4774138971856,50.5386332387533,31.5270189273959,23.626841843423
"ENSMUSG00000000385",3.57696835038621,29.6190126877084,4.71758566129032,2.56696025195988,6493.37165948928,1.77063792402698,185.118483014464,319.063839223917,3.59902170725331,6.02895263851943,332.186045313218,4.90454214322718,304.515881260465,624.51409439103,34.2154947172766,75.1530802791046,3.10102582531137,4.45006421680119,19.4113629692843,5.13952202428,2.70231590806251,11.8134209217115
"ENSMUSG00000000530",1604.86646653995,1674.14737623479,1686.53687391129,1623.60235936463,1422.0312605214,1804.28004458349,1977.66329680048,1811.90997749056,2056.24106874406,1713.08382828788,1632.96843824006,2118.76220587414,2689.07953930966,1432.5810269596,2052.15205815666,1641.06998936736,2105.59653538642,2229.4821726174,2604.76226844083,2249.39747262655,2202.38746507094,1943.30774162154
