"","rowname","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","threshold","Gene.Name"
"1","ENSMUSG00000000001",1665.13887644123,0.136329393172747,0.132211961457779,1.03114265660663,0.302473926754607,0.844815643739416,"NS","Gnai3"
"2","ENSMUSG00000000028",149.091645765654,-0.26917904293774,0.173790213350121,-1.5488734247391,0.121412150510528,0.663755413143457,"NS","Cdc45"
"3","ENSMUSG00000000031",65.2879519566186,-0.507666722224268,0.399606970120263,-1.27041508327916,0.20393681326746,0.775452581792212,"NS","H19"
"4","ENSMUSG00000000056",738.67451248691,0.324507394105755,0.115285222783625,2.81482211050425,0.00488042408407884,0.128236866107523,"NS","Narf"
"5","ENSMUSG00000000058",5663.28163631415,0.125150600932084,0.19110616948818,0.654874728886363,0.512548412016905,0.930837504350246,"NS","Cav2"
"6","ENSMUSG00000000078",2947.88679224651,0.131662737506025,0.147042292858806,0.895407266482518,0.370569417663679,0.877457822991123,"NS","Klf6"
"7","ENSMUSG00000000085",795.933835222254,-0.0666100706663946,0.107294432945777,-0.620815720234589,0.534720878743288,0.938485511211729,"NS","Scmh1"
"8","ENSMUSG00000000088",1101.04384240435,0.00164110171229078,0.280618457933402,0.00584816025423479,0.995333869821763,0.999201132845698,"NS","Cox5a"
"9","ENSMUSG00000000094",37.1056001618222,-0.147912910999564,0.823468047390425,-0.179621919111859,0.857449395594764,0.986466895565128,"NS","Tbx4"
"10","ENSMUSG00000000126",231.165704565375,-0.597147799378412,0.22397479364119,-2.66613840633803,0.00767280971365239,0.16905009931347,"NS","Wnt9a"
"11","ENSMUSG00000000127",493.164152846275,0.00648359784298112,0.109036786696617,0.0594624808691493,0.952583748503935,0.993711747762458,"NS","Fer"
"12","ENSMUSG00000000131",1731.17155612141,0.0282550491103983,0.0784509633911455,0.36016191374888,0.718726054557641,0.966265991744075,"NS","Xpo6"
"13","ENSMUSG00000000134",1536.52682703707,-0.0729120350477656,0.0705769925559627,-1.03308503815817,0.301564104492843,0.844815643739416,"NS","Tfe3"
"14","ENSMUSG00000000142",871.260336447327,-0.506359295980795,0.204753533757322,-2.4730185930805,0.0133977172423494,0.235989984613305,"NS","Axin2"
"15","ENSMUSG00000000148",792.472238691786,-0.235679129710921,0.118528057261662,-1.98838262564818,0.0467693888594335,0.476454423373229,"NS","Brat1"
"16","ENSMUSG00000000149",2365.94959914525,-0.126792069932514,0.112229847169575,-1.12975356494014,0.258580079551766,0.811839159604683,"NS","Gna12"
"17","ENSMUSG00000000154",251.524263715233,0.192824231713626,0.233041056187959,0.827426011827308,0.407995642224487,0.895080165265567,"NS","Slc22a18"
"18","ENSMUSG00000000167",28.1971269833655,-0.0647692518343807,0.353465328810737,-0.183240749672117,0.854609122013124,0.986332070455141,"NS","Pih1d2"
"19","ENSMUSG00000000168",4850.75674343861,0.411004519016023,0.380917374641677,1.07898601213098,0.280593963323871,0.832150378738684,"NS","Dlat"
"20","ENSMUSG00000000171",3371.09013941175,-0.080063233321414,0.218537681023194,-0.366358940694152,0.714097253695624,0.966265991744075,"NS","Sdhd"
"21","ENSMUSG00000000184",8935.66649802021,-0.199681287222713,0.163205880745523,-1.22349321182895,0.221143466517264,0.785567537899997,"NS","Ccnd2"
"22","ENSMUSG00000000194",1503.49709805783,-0.0385839398867717,0.0760656653055415,-0.507245151038741,0.61198281822282,0.953678118710741,"NS","Gpr107"
"23","ENSMUSG00000000197",15.2527220987795,-1.29803865326319,0.414115256841982,-3.13448643056996,0.0017215521583288,0.0631744852509312,"NS","Nalcn"
"24","ENSMUSG00000000223",54.3344150572131,0.563154510666188,0.494677249744297,1.13842815887993,0.254941741421859,0.810118454909834,"NS","Drp2"
"25","ENSMUSG00000000244",129.044089456645,0.0166833549863504,0.310811943380527,0.0536766856668855,0.957192758159487,0.993711747762458,"NS","Tspan32"
"26","ENSMUSG00000000253",352.956341277376,0.157670209594046,0.203934571358936,0.77314115278933,0.439438848413352,0.906418344269765,"NS","Gmpr"
"27","ENSMUSG00000000263",29.0312788143864,0.870875193580831,0.49464845519285,1.7605941844927,0.0783071136421525,0.575362581673024,"NS","Glra1"
"28","ENSMUSG00000000266",540.21036182748,0.208557662921434,0.16937368117182,1.23134634305942,0.218193356011822,0.785567537899997,"NS","Mid2"
"29","ENSMUSG00000000275",1848.78905263797,0.137743268137703,0.0996740968276549,1.38193645612734,0.166991212939498,0.728771434730525,"NS","Trim25"
"30","ENSMUSG00000000276",577.363444515422,0.286955915138872,0.11710701375891,2.45037343134402,0.0142708124665245,0.246908569050097,"NS","Dgke"
"31","ENSMUSG00000000278",2243.94007391603,-0.109569689910697,0.146248366846107,-0.749202827174094,0.453734965413155,0.912600039495198,"NS","Scpep1"
"32","ENSMUSG00000000282",996.417510953161,0.0047594623326793,0.167496313878707,0.0284153258209962,0.977330900899538,0.996245860799709,"NS","Mnt"
"33","ENSMUSG00000000290",729.174245798124,-0.0114075610724862,0.309529783517957,-0.0368544859975468,0.97060102998405,0.995318108497015,"NS","Itgb2"
"34","ENSMUSG00000000295",194.206326829025,-0.429374575339007,0.172567615090241,-2.4881526879448,0.0128408590132335,0.231865828557738,"NS","Hddc2"
"35","ENSMUSG00000000296",43.812812699149,0.0344854508483496,0.469164733025703,0.0735039281958569,0.941405118284592,0.993477423788318,"NS","Tpd52l1"
"36","ENSMUSG00000000301",199.479862713931,0.138718171929437,0.131903283341499,1.05166579948047,0.29295290740618,0.838915094280174,"NS","Pemt"
"37","ENSMUSG00000000317",555.239793003108,0.428600479942414,0.330644329580068,1.29625837069928,0.194886485583083,0.768498065749414,"NS","Bcl6b"
"38","ENSMUSG00000000318",1409.596411271,-0.161057473922143,0.229529557005472,-0.701685116389188,0.482875556935533,0.922049829028809,"NS","Clec10a"
"39","ENSMUSG00000000320",129.507627271226,0.99009199756225,0.376906989136737,2.62688680788314,0.00861699929499805,0.180458542035028,"NS","Alox12"
"40","ENSMUSG00000000325",420.456233143435,-0.425993176691592,0.189484883719578,-2.24816443575534,0.0245657065317823,0.33771043289563,"NS","Arvcf"
"41","ENSMUSG00000000326",9429.60470675404,-0.420670782091221,0.293595510856161,-1.43282429920162,0.151908055275018,0.706632219527409,"NS","Comt"
"42","ENSMUSG00000000339",249.275747868426,-0.179209294282152,0.222193334950205,-0.806546669468343,0.419927709834256,0.899972493380795,"NS","Rtca"
"43","ENSMUSG00000000340",1890.47168501959,0.428707555559029,0.173152213469917,2.47589994356909,0.0132900817479345,0.2357407624654,"NS","Dbt"
"44","ENSMUSG00000000346",3662.37835715423,0.0656886562214702,0.0834393763858439,0.787262070580561,0.43112846830995,0.903437301733758,"NS","Dazap2"
"45","ENSMUSG00000000355",407.448598619804,0.18911012792497,0.301479735338969,0.627273099176447,0.530480233775099,0.937350176417386,"NS","Mcts1"
"46","ENSMUSG00000000359",242.474775213817,-0.217677682128151,0.23576205041594,-0.923293981131046,0.355854023644352,0.871503996549884,"NS","Rem1"
"47","ENSMUSG00000000365",22.1869200798444,0.404133097928209,0.346350681512635,1.16683211409667,0.243278175272703,0.800839844966229,"NS","Rnf17"
"48","ENSMUSG00000000374",1783.56635649796,0.0770367720595771,0.128770013041552,0.598250867884271,0.549672554521691,0.942889204127079,"NS","Trappc10"
"49","ENSMUSG00000000378",1257.56509600299,-0.140418816394735,0.106669186411427,-1.31639530701147,0.188041396761757,0.762385835222675,"NS","Ccm2"
"50","ENSMUSG00000000384",836.393998254879,0.0506201878408494,0.193133536430521,0.26209941979217,0.793244794087839,0.976599579916203,"NS","Tbrg4"
"51","ENSMUSG00000000386",50.3925445360869,-0.202837200661049,0.344669719387887,-0.588497304089479,0.556198542864099,0.94445148891032,"NS","Mx1"
"52","ENSMUSG00000000392",305.563700546874,0.076296961500309,0.333860934756935,0.228529167558512,0.819234883541242,0.980291464291948,"NS","Fap"
"53","ENSMUSG00000000399",2531.5330627722,-0.103455130727977,0.192733564496719,-0.536777965987021,0.591420993414912,0.951547255088359,"NS","Ndufa9"
"54","ENSMUSG00000000402",121.13154421495,-0.74672924415855,0.275945034117829,-2.70607966019673,0.0068082712144264,0.156992753966444,"NS","Egfl6"
"55","ENSMUSG00000000409",76.3328451869857,0.718167156891956,0.29775946748274,2.41190368508966,0.0158694730999584,0.263545227843713,"NS","Lck"
"56","ENSMUSG00000000416",68.8621329416266,-0.218714948586279,0.339809745545337,-0.643639423099178,0.519809279807625,0.933757536212657,"NS","Cttnbp2"
"57","ENSMUSG00000000420",1671.63358865532,-0.156909628840211,0.0784876044682295,-1.99916445282421,0.0455905633134412,0.470769122384105,"NS","Galnt1"
"58","ENSMUSG00000000439",613.142926565254,-0.00841148290696208,0.10118253211596,-0.0831317692002622,0.933746765098006,0.99159054138115,"NS","Mkrn2"
"59","ENSMUSG00000000440",4991.3920925873,-0.189082515362416,0.149656073477048,-1.2634469886143,0.206428586433076,0.775665860153274,"NS","Pparg"
"60","ENSMUSG00000000441",1103.99229586246,0.00208187033470701,0.109074737434235,0.019086640808668,0.984771988580519,0.997400097672638,"NS","Raf1"
"61","ENSMUSG00000000486",220.432187432177,0.193573479331073,0.253400483665478,0.763903353817648,0.444924838665095,0.90902026348693,"NS","Sept1"
"62","ENSMUSG00000000489",1473.1078917834,0.169116978885193,0.168055389768268,1.00631690015053,0.314263153399374,0.852415757368766,"NS","Pdgfb"
"63","ENSMUSG00000000530",1815.87971819025,-0.312116062622393,0.167018761719941,-1.86874851309072,0.0616578110915442,0.526775788489011,"NS","Acvrl1"
"64","ENSMUSG00000000531",377.52422150742,-0.429934928861665,0.188842286237488,-2.2766877982031,0.0228048756796848,0.323232780163733,"NS","Grasp"
"65","ENSMUSG00000000532",953.354622572618,-0.252358644667677,0.234707601059789,-1.07520439699518,0.282283227281269,0.832522323120771,"NS","Acvr1b"
"66","ENSMUSG00000000538",2854.07836249249,-0.0186974573323978,0.0727805220127963,-0.256901940454761,0.79725447257902,0.978444517986475,"NS","Tom1l2"
"67","ENSMUSG00000000552",1849.98912538622,-0.258231403776694,0.156597803636148,-1.64901038060974,0.0991455080809026,0.622415688055915,"NS","Zfp385a"
"68","ENSMUSG00000000555",1629.09261879527,0.0879792785676665,0.189530889546752,0.464194932963498,0.642508091183874,0.960455316770813,"NS","Itga5"
"69","ENSMUSG00000000561",405.871251633125,0.199460373592308,0.175139230445013,1.13886747752343,0.254758432246156,0.810087900906656,"NS","Wdr77"
"70","ENSMUSG00000000563",2820.63297895283,-0.0411864393352261,0.183885580079385,-0.223978624737435,0.822773935712757,0.980291464291948,"NS","Atp5pb"
"71","ENSMUSG00000000567",132.276689604451,1.25402379103543,0.345164115240578,3.63312330472528,0.000280011123521157,0.0168079492456115,"NS","Sox9"
"72","ENSMUSG00000000568",1469.17729204264,0.108002140691629,0.111119529150756,0.971945629333096,0.331077598041381,0.857733471947279,"NS","Hnrnpd"
"73","ENSMUSG00000000581",682.826365809918,-0.0768563748545058,0.0942466343532879,-0.815481373758199,0.414796822111066,0.897725437426951,"NS","C1d"
"74","ENSMUSG00000000594",7436.60501657099,-0.0357724296933691,0.0884281457827825,-0.404536693342429,0.685818100838746,0.96535558752724,"NS","Gm2a"
"75","ENSMUSG00000000600",615.641367760228,-0.0222795442228921,0.185374392311983,-0.120186741787916,0.90433522016334,0.98861796543656,"NS","Krit1"
"76","ENSMUSG00000000605",1384.47898903929,-0.0379205399524943,0.130194536887638,-0.291260607848861,0.770852012377159,0.973425789470616,"NS","Clcn4"
"77","ENSMUSG00000000628",3827.41227743469,-0.405287830139775,0.269146613719546,-1.50582548499789,0.132111979251231,0.679269540022054,"NS","Hk2"
"78","ENSMUSG00000000631",1858.04790842205,-0.06933499374156,0.198881845148623,-0.348624047055409,0.727371572131134,0.966265991744075,"NS","Myo18a"
"79","ENSMUSG00000000632",69.3948310531853,0.903316618138809,0.361331440466582,2.49996683646563,0.0124204933005401,0.228815322598749,"NS","Sez6"
"80","ENSMUSG00000000673",57.8242689470953,0.0239531446220933,0.337290467694568,0.0710163699134953,0.943384727078144,0.993477423788318,"NS","Haao"
"81","ENSMUSG00000000682",341.492778430102,0.136778037978046,0.252917664976069,0.540800651433297,0.588644993782269,0.951070281704551,"NS","Cd52"
"82","ENSMUSG00000000686",768.634446637746,-0.0918941102298526,0.17807828837295,-0.516032083806862,0.605832001089536,0.953379863987305,"NS","Abhd15"
"83","ENSMUSG00000000690",243.980702051909,-0.210601718472303,0.243154634401845,-0.866122576649128,0.386422945600404,0.884335227223992,"NS","Hoxb6"
"84","ENSMUSG00000000693",453.446471945489,-0.305475358759231,0.262979764953263,-1.1615926374165,0.245400974162707,0.800839844966229,"NS","Loxl3"
"85","ENSMUSG00000000708",1402.28143178045,-0.00173103028105508,0.17123392194257,-0.0101091551336168,0.991934198577146,0.999201132845698,"NS","Kat2b"
"86","ENSMUSG00000000711",1761.97068280281,-0.026815578200418,0.0738572430284577,-0.363073100225062,0.716550278407361,0.966265991744075,"NS","Rab5b"
"87","ENSMUSG00000000730",61.0932872290688,0.737719499765954,0.704877420402664,1.04659261087485,0.295287511320639,0.840066956308965,"NS","Dnmt3l"
"88","ENSMUSG00000000732",482.766343079514,-0.166542746574752,0.206828882783204,-0.805219968960139,0.420692755080529,0.899972493380795,"NS","Icosl"
"89","ENSMUSG00000000738",1844.95894091395,0.0123481732827258,0.0939631539084459,0.131415057595421,0.895446977724369,0.988014623316231,"NS","Spg7"
"90","ENSMUSG00000000739",304.311556438972,-0.280781214641327,0.328196067234312,-0.855528882498357,0.392258421959569,0.886983554442616,"NS","Sult5a1"
"91","ENSMUSG00000000740",1516.21936912142,-0.0697923086942965,0.179807031733541,-0.388151164175396,0.697904170725069,0.965922898227037,"NS","Rpl13"
"92","ENSMUSG00000000743",1614.39524299833,-0.0689356422996326,0.102110200422786,-0.675110243777854,0.499605725888604,0.927372556108743,"NS","Chmp1a"
"93","ENSMUSG00000000751",1297.10988112915,0.032558080988583,0.129406348746247,0.251595700705738,0.801353582090679,0.978444517986475,"NS","Rpa1"
"94","ENSMUSG00000000753",4795.74478136528,-0.968102099449566,0.299165943257497,-3.23600370051582,0.00121215812717896,0.0482424798662389,"NS","Serpinf1"
"95","ENSMUSG00000000759",755.587080098232,0.181386247709321,0.104401461406649,1.73739184552994,0.0823180296188385,0.585882910493621,"NS","Tubgcp3"
"96","ENSMUSG00000000776",368.161422747539,-0.0650084458471227,0.200562328541004,-0.324130888986125,0.745838942205256,0.968640514120959,"NS","Polr3d"
"97","ENSMUSG00000000782",99.6279172795663,0.250589139142628,0.206946821156053,1.21088663137118,0.225938856900411,0.789629118163724,"NS","Tcf7"
"98","ENSMUSG00000000787",4849.7841943714,0.170178461316581,0.131718150828846,1.29198945054817,0.196360797987983,0.768498065749414,"NS","Ddx3x"
"99","ENSMUSG00000000794",148.705054655907,0.385960587322836,0.390887141947838,0.987396478174101,0.323448310208302,0.857025016042999,"NS","Kcnn3"
"100","ENSMUSG00000000804",977.064350611544,0.0633585688494332,0.120017178595454,0.527912500451274,0.59756006810556,0.95186637658192,"NS","Usp32"
"101","ENSMUSG00000000805",1230.66626584193,0.232430641907634,0.205394337478084,1.13163120639796,0.257789514632752,0.811593836803551,"NS","Car4"
"102","ENSMUSG00000000811",515.687364779216,0.0479490773173259,0.135647498481666,0.353482945531845,0.723726412104556,0.966265991744075,"NS","Txnrd3"
"103","ENSMUSG00000000823",1666.14602563299,-0.034761234107818,0.124913328590689,-0.278282826180399,0.78079525837298,0.976158037554856,"NS","Zfp512b"
"104","ENSMUSG00000000826",2822.44732072926,0.121087628124483,0.0708047868384165,1.71016160815253,0.0872359928776102,0.598091266696432,"NS","Dnajc5"
"105","ENSMUSG00000000827",1561.73317574222,-0.0464503542547511,0.0744550829187931,-0.623870828341079,0.532712419641007,0.938072743989223,"NS","Tpd52l2"
"106","ENSMUSG00000000838",4388.30064484288,-0.811534960018521,0.243935003507496,-3.32684915387137,0.000878339065514677,0.0388715043341667,"NS","Fmr1"
